Performance Statistics   2015-10-19 13:32:00 - 2015-10-19 13:34:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
mainWindow#uiPermissions                                 0,0           0           0         0,0           1
mainWindow#xml                                           3,0           3           3         0,0           1
windowActions#xml                                        3,3           2           5         1,2           3

Performance Statistics   2015-10-19 13:42:00 - 2015-10-19 13:44:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
delta$Storage.view@storageCategoriesStatesDs            10,0          10          10         0,0           1

Performance Statistics   2015-10-19 13:44:00 - 2015-10-19 13:46:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2015-10-19 13:46:00 - 2015-10-19 13:48:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2015-10-19 13:48:00 - 2015-10-19 13:50:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2015-10-19 13:50:00 - 2015-10-19 13:52:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2015-10-19 13:52:00 - 2015-10-19 13:54:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2015-10-19 13:58:00 - 2015-10-19 14:00:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
delta$MainScreen#init                                   28,0          28          28         0,0           1
delta$MainScreen#inject                                  4,0           4           4         0,0           1
delta$MainScreen#loadDescriptor                        473,0         473         473         0,0           1
delta$MainScreen#ready                                   0,0           0           0         0,0           1
delta$MainScreen#uiPermissions                           0,0           0           0         0,0           1
delta$MainScreen#xml                                    10,0          10          10         0,0           1
delta$MainScreen.windowActions#init                      0,0           0           0         0,0           1
delta$MainScreen.windowActions#inject                    0,0           0           0         0,0           1
delta$MainScreen.windowActions#loadDescriptor           13,0          13          13         0,0           1
delta$MainScreen.windowActions#uiPermissions             0,0           0           0         0,0           1
delta$MainScreen@storagesDs                            173,0         173         173         0,0           1
delta$Operation.edit#init                                0,0           0           0         0,0           1
delta$Operation.edit#inject                              0,0           0           0         0,0           1
delta$Operation.edit#loadDescriptor                    431,0         431         431         0,0           1
delta$Operation.edit#ready                               0,0           0           0         0,0           1
delta$Operation.edit#setItem                             2,0           2           2         0,0           1
delta$Operation.edit#uiPermissions                       0,0           0           0         0,0           1
delta$Operation.edit#xml                                 3,0           3           3         0,0           1
delta$Operation.edit.windowActions#loadDescriptor         3,0           3           3         0,0           1
delta$Operation.edit@categoriesDs                       43,0          43          43         0,0           1
delta$Storage.view#init                                 11,0          11          11         0,0           1
delta$Storage.view#inject                                1,0           1           1         0,0           1
delta$Storage.view#loadDescriptor                       80,0          80          80         0,0           1
delta$Storage.view#ready                                 0,0           0           0         0,0           1
delta$Storage.view#setItem                              53,0          53          53         0,0           1
delta$Storage.view#uiPermissions                         0,0           0           0         0,0           1
delta$Storage.view#xml                                   4,0           4           4         0,0           1
delta$Storage.view.windowActions#init                    0,0           0           0         0,0           1
delta$Storage.view.windowActions#inject                  0,0           0           0         0,0           1
delta$Storage.view.windowActions#loadDescriptor          5,0           5           5         0,0           1
delta$Storage.view.windowActions#uiPermissions           0,0           0           0         0,0           1
delta$Storage.view@operationsDs                         76,0          76          76         0,0           1
delta$Storage.view@storageCategoriesStatesDs            47,0          47          47         0,0           1
mainWindow#init                                         60,0          60          60         0,0           1
mainWindow#inject                                        7,0           7           7         0,0           1
mainWindow#loadDescriptor                              508,0         508         508         0,0           1
mainWindow#ready                                         0,0           0           0         0,0           1
mainWindow#uiPermissions                                 0,0           0           0         0,0           1
mainWindow#xml                                         230,0         230         230         0,0           1
windowActions#xml                                        1,7           1           2         0,5           3

Performance Statistics   2015-10-19 14:00:00 - 2015-10-19 14:02:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
delta$Operation.edit#init                                0,0           0           0         0,0           2
delta$Operation.edit#inject                              0,0           0           0         0,0           2
delta$Operation.edit#loadDescriptor                     27,0          12          42        15,0           2
delta$Operation.edit#ready                               0,0           0           0         0,0           2
delta$Operation.edit#setItem                          4363,5          53        8674      4310,5           2
delta$Operation.edit#uiPermissions                       0,0           0           0         0,0           2
delta$Operation.edit#xml                                 7,5           3          12         4,5           2
delta$Operation.edit.windowActions#loadDescriptor         3,5           2           5         1,5           2
delta$Operation.edit@categoriesDs                       21,5          18          25         3,5           2
windowActions#xml                                        1,0           1           1         0,0           2

Performance Statistics   2015-10-19 14:02:00 - 2015-10-19 14:04:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
delta$Operation.edit#init                             2645,0        2645        2645         0,0           1
delta$Operation.edit#inject                              0,0           0           0         0,0           1
delta$Operation.edit#loadDescriptor                   1807,0        1807        1807         0,0           1
delta$Operation.edit#ready                               0,0           0           0         0,0           1
delta$Operation.edit#setItem                          2020,0        2020        2020         0,0           1
delta$Operation.edit#uiPermissions                       0,0           0           0         0,0           1
delta$Operation.edit#xml                                 6,0           6           6         0,0           1
delta$Operation.edit.windowActions#loadDescriptor         3,0           3           3         0,0           1
delta$Operation.edit@categoriesDs                       22,0          22          22         0,0           1
delta$Operation.edit@storagesDs                         23,0          23          23         0,0           1
windowActions#xml                                        2,0           2           2         0,0           1

Performance Statistics   2015-10-19 14:06:00 - 2015-10-19 14:08:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
delta$MainScreen#init                                   25,0          25          25         0,0           1
delta$MainScreen#inject                                  2,0           2           2         0,0           1
delta$MainScreen#loadDescriptor                        443,0         443         443         0,0           1
delta$MainScreen#ready                                   0,0           0           0         0,0           1
